title,description,category
Joe's Zoo," Flaming, zebra, krokodyl i inni mieszkańcy zoo, ukryli się na nie swoich wybiegach, przez co zapanował kompletny chaos! Zadaniem graczy jest wywabić zwierzę",Familijne
Catan: Szybka gra karciana,Poprawiona odsłona ekonomicznej karcianki!,Familijne
Faras,Wyruszcie w niezwykłą podróż do serca Afryki! Wcielcie się w rolę polskich archeologów którzy - pod czujnym okiem profesora Kazimierza Michałowskiego,Familijne
Dobble Kids,"Ten, ten, no... wieloryb!",Familijne
Quadro Color," Trzy kartoniki, jedna plansza i wiele kolorowych kwadratów - do dzieła!",Familijne
Pokój 25: Apogeum,Wszystko co najlepsze w serii Pokój 25!,Familijne
Sprint,"Niesamowita gra kooperacyjna, w której liczy się przede wszystkim zręczność i współpraca zespołowa.",Familijne
Gra słów,Rodzinna gra kooperacyjna,Familijne
Story Cubes: Bohaterowie,"9 kości, 54 obrazy, nieskończona ilość opowieści",Familijne
4 w 1 - Dziewczyny,"""4 w 1 - Dziewczyny"" to zestaw 3 różnych gier i 60 puzzli do układania. Wszystkie gry i puzzle łączy grafika o tematyce skierowanej do dziewcząt. ",Familijne
Story Cubes: Interwencje,"9 kości, 54 obrazy, nieskończona ilość opowieści",Familijne
Domino obrazkowe - Dziewczyny,"W trakcie gry, każdy jej uczestnik stara się dołożyć jeden ze swoich elementów do układu leżącego na stole. ",Familijne
Remik słowny Deluxe,„Remik Słowny Deluxe” to fascynująca gra słowna. Łączy w sobie elementy losowe i strategiczne. ,Familijne
Domino obrazkowe - Mix,"Gra stara jak świat, polegająca na dopasowywaniu elementów o tej samej wartości. ",Familijne
Graffiti,"Czy potrafisz narysować ""burzę mózgów"" albo ""uciekający czas""?",Familijne
Wsiąść do Pociągu: Niemcy,Bezkonkurencyjna gra familijna z mapą Niemiec,Familijne
Imhotep: Budowniczy Egiptu,"Imhotep to pierwszy i najsłynniejszy budowniczy starożytnego Egiptu. Czy uda Wam się pójść w jego ślady i wznieść budowle, które przetrwają wieki?",Familijne
Ale japa,Imprezowa gra karciana! W tej grze nie wytrzymasz ze śmiechu!,Familijne
Colorio,"Dynamiczna, kolorowa gra rodzinna!",Familijne
Lokomotywa edukacyjna,"Gra dla dzieci w wieku przedszkolnym , której zasady umożliwiający ćwiczenie ( w zakresie podstawowym) umiejętności dodawania i odejmowania.",Familijne
Łubudu! (wersja Familijna),Rodzinna gra zręcznościowa!,Familijne
Łap złodzieja,"Witajcie na Dzikim Zachodzie, krainie ogromnych przestrzeni i palącego słońca, gdzie słychać tętent kopyt mustangów, a nocami wycie kojotów, gdzie spod nóg czmychają jaszczurki i gdzie nad głowami krążą wygłodniałe sępy.",Familijne
Wielcy Polacy,"Wielcy Polacy to gra, która ma za zadanie przybliżyć sylwetki postaci z historii Polski, które przyczyniły się do jej rozwoju i rozsławiania w świecie.",Familijne
Gemino,Elegancka gra logiczna dla całej rodziny! ,Familijne
Wtedy kiedy,Światowy bestseller! ,Familijne
Sowa Mądra Głowa poleca - Pogromcy liczb,"Twoja pociecha nieustannie mówi, że matematyka jest trudna i nudna i żadnym sposobem nie możesz skłonić jej do ćwiczeń z tego przedmiotu? To już przeszłość!",Familijne
Agricola - wersja dla graczy,Nowa wersja starej dobrej Agricoli.,Familijne
Wyrazy i zadania,"""Wyrazy i zdania"" to świetna zabawa i jednocześnie pomoc dydaktyczna dla dzieci w wieku przedszkolnym. ",Familijne
Basilica,Prawdziwy budowniczy może być tylko jeden,Familijne
Domino obrazkowe - Zawody,"Gra stara jak świat, polegająca na dopasowywaniu elementów o tej samej wartości. ",Familijne
Hobbit: Wyprawa po skarb,Dołącz do Bilbo Bagginsa i krasnoludów. Wyrusz w niebezpieczną wyprawę po skarb.,Familijne
Scriba Karty,"""Scriba Karty"" to prostsza i łatwiejsza wersja gier planszowych ""Scriba"".",Familijne
Co mnie otacza - gra w pamięć,Co mnie otacza to doskonały trening pamięci już dla najmłodszych intelektualistów.,Familijne
Gierki małżeńskie: Wiem wszystko,Zaimponuj innym swoją wiedzą,Familijne
Santiago,"Gracze wcielają się w plantatorów uprawiających banany, arbuzy, paprykę, winogrona i kokosy. Nic jednak nie urośnie bez wody!",Familijne
Hej! To moja ryba!,Nowa wersja hitu dla młodszych i starszych!,Familijne
Kalambury,"W drużynowej grze ""Kalambury"" wygrywa zespół, w którym gracze najlepiej potrafią przedstawić (za pomocą gestów lub rysunków) i najszybciej odgadnąć hasło wskazane losowo na karcie.",Familijne
Gimatriks,Gimatriks - tutaj liczą się słowa!,Familijne
Sawanna,"Które zwierzę jest sprytniejsze: żyrafa, zebra czy słoń? A może lew albo antylopa? ",Familijne
Color Addict Owoce,Znudziły Ci się kolory?,Familijne
Skup Żywca,"Zadaniem graczy jest kupowanie i sprzedawanie krów, świń, owiec oraz kur na wiejskim targowisku. ",Familijne
Bug,Kto wykaże się najlepszą spostrzegawczością?,Familijne
13 duchów,"Znajdź ducha, zanim on zauważy Ciebie!",Familijne
Podaj cegłe!,"Wcielasz się w rolę właściciela firmy budowlanej. Zatrudniasz robotników o różnych kwalifikacjach: majstrów, brygadzistów, pomocników i uczniów. Bierzesz udz",Familijne
Potworne porządki,Czy wszystkim uda się zaprowadzić porządek w zabawkach?,Familijne
"Statki, łupy, kościotrupy","Podczas rozgrywki w Statki, łupy, kościotrupy rzucamy specjalnymi kośćmi, by rozgrywać bitwy, grabić kupców a następnie w portach rozwijać statki i werbować",Familijne
Mam oko,Szukaj nietypowych par!,Familijne
Scrabble Original (wersja polska),W tej najpopularniejszej na świecie grze słownej liczy się każde słowo! Przy całej swej prostocie gra niesłychanie wciąga. ,Familijne
Mini City,Która mrówka zostanie nową królową kolonii?,Familijne
Wyprawa do El Dorado,"Wielki hit Reinera Knizi! Proste zasady, wielkie emocje!",Familijne
Triominos Travel (wersja podróżna),"Najbardziej fascynująca wariacja powszechnie znanego domina. ""Triominos"" dodaje dodatkowy wymiar rozgrywce. ",Familijne
Gigamon,Szukaj leśnych duszków i zostań czarodziejem!,Familijne
Gorący ziemniak (Travel),Imprezowa gra rodzinna! Pyszna zabawa dla małych i dużych!,Familijne
Gdybyś był... (Travel),"Zadziorna, imprezowa gra planszowa! Czy rywale znają Twoje prawdziwe ""ja""?",Familijne
Cortex,"Mądra gra, dzięki której gimnastykujesz umysł!",Familijne
Uwaga spoiler!,"Gra, w której spoilery są najważniejsze!",Familijne
Cortex dla Dzieci,Zobacz i poczuj co to za karta!,Familijne
Dobble Harry Potter,To tu zaczyna się magia!,Familijne
Gejsze (polska edycja Hanamikoji),"Minimum zasad, maksimum strategii!",Familijne
Pracownia Snów,"Zanurz się w Krainach Snów, zbieraj cenne Okruchy, które pozwolą ci zbudować własną wizję snu. Twórz krajobrazy otulające cię niczym ciepła, kojąca kołderka i odzyskaj spokój umysłu.",Familijne
Wsiąść do Pociągu: Amsterdam,Holenderski Złoty Wiek,Familijne
Magazynier,WSKAKUJ NA WÓZEK WIDŁOWY!,Familijne
Domek,Jak będzie wyglądał Twój wymarzony dom?,Familijne
Potwory w Tokio (nowa edycja),Potwory w wielkim mieście powracają!,Familijne
Welcome to... Nowe Las Vegas,"Co się wydarzyło w Vegas, zostaje w Vegas!",Familijne
Liski: Ojojanie (druga edycja),Wciel się w Puchatera i walcz z koszmarami!,Familijne
Europa w 10 dni,Zaplanuj wycieczkę marzeń!,Familijne
Small World of Warcraft (edycja polska),Popularna gra strategiczna w świecie Azeroth!,Familijne
Wyraź to!,"Wyraź to! to rodzinna gra drużynowa, w której zadaniem graczy jest odgadnięcie nazw emocji, nastrojów i stanów prezentowanych przez aktywnego gracza.",Familijne
Wyspa skarbów: Złoto Johna Silvera (Treasure Island),Kto pierwszy znajdzie skarb?,Familijne
Gdzie jesteś,Imprezowa gra na szybkość i spostrzegawczość! ,Familijne
Arboretum (edycja polska),Stwórz najpiękniejszy ogród botaniczny!,Familijne
Labirynt słów,Zastaw słowną pułapkę na swoich przeciwników!,Familijne
Palce w pralce,Polska edycja Rythme and Boulet,Familijne
Wsiąść do Pociągu: Londyn,Czas na herbatkę!,Familijne
Little Town,"Szybka gra strategiczna wykorzystująca mechanikę zarządzania robotnikami i surowcami, w której proste reguły zderzają się z trudnymi decyzjami.",Familijne
Kanagawa (edycja polska),Kto zostanie następcą Hokusaia?,Familijne
Obłędny Rycerz,"Niesamowita gra kooperacyjna, w której liczy się przede wszystkim zręczność i współpraca zespołowa.",Familijne
Cardline: Zwierzęta,"Które zwierzę jest większe, puszczyk czy indyk? A które cięższe - krowa czy rekin? A które dłużej żyje?  Pies czy wieloryb?",Familijne
Wsiąść do Pociągu: Europa,Polska edycja bestsellerowego Ticket to Ride: Europe,Familijne
Rolnicy,WIDŁY W DŁOŃ!,Familijne
Splendor Marvel,Powstrzymaj Thanosa przed zniszczeniem świata!,Familijne
Luxor,"Wejdźcie do wspaniałej świątyni w Luksorze, poprowadźcie poszukiwaczy przygód do tajemniczych korytarzy świątyni i po drodze odkryjcie cenne skarby.",Familijne
Abominacja: Dziedzictwo Frankensteina,Tchnij iskrę życia w nowego Frankensteina,Familijne
Przechlapane!,"Chlup, do wody!",Familijne
Szarlatani z Pasikurowic,"W Szarlatanach z Pasikurowic każdy z graczy szarlatanów (`Quacksalber` w języku niemieckim) tworzy swój własny tajny napar, przygotowując składniki ze wspólnej torby na zakupy.",Familijne
W pustyni i w puszczy,"Gra planszowa W pustyni i w puszczy, na podstawie powieści Henryka Sienkiewicza.",Familijne
Pandemic: Szybka reakcja,Czy uratujecie ludzkość przed zagładą?,Strategiczne
Viticulture Essential Edition (edycja polska),„Wino to poezja w butelkach.” Robert Louis Stevenson,Strategiczne
Twilight Imperium: Świt nowej ery,"Mecatol Rex. Centrum znanej galaktyki i niegdysiejsza siedziba Imperium Lazax. Dzisiaj Rex to tylko zgliszcza potężnej cywilizacji, dawno zapomniane imperium, a także obiekt pożądania wszystkich ras biorących udział w galaktycznych konfliktach.",Strategiczne
Star Wars: Zewnętrzne Rubieże,"Wykonuj zlecenia dla Huttów, kradnij i przemycaj towary pod nosem Imperium i przygotuj się na podbój galaktyki!",Strategiczne
Osadnicy: Wykreślane Imperium,"Osadnicy: Wykreślane Imperium to gra, w której gracze zarządzają swoimi zasobami rozbudowując swoją osadę o nowe specjalne budynki oraz o mury, nowe pola i chaty.",Strategiczne
Maracaibo,"„Maracaibo”, które zaprojektował Alexander Pfister, przenosi graczy w okres XVII-wiecznej kolonizacji Karaibów, świat pełen przygód i możliwości, gdzie najważniejsze europejskie nacje walczą o dominację, starając się poszerzyć i umocnić swoją potęgę polityczną oraz gospodarczą. ",Strategiczne
Mage Knight Ultimate (edycja polska),"Edycja Ultimate nie tylko łączy w sobie elementy RPG i budowania talii, z mechanikami tradycyjnych gier planszowych. ",Strategiczne
Brzdęk w Kosmosie,W Kosmosie… Nikt nie usłyszy… TWOJEGO BRZDĘKU!,Strategiczne
Architekci Zachodniego Królestwa,"Akcja Architektów Zachodniego Królestwa toczy się u schyłku Imperium Karolińskiego, około 850 r.n.e. ",Strategiczne
Sentient,STOIMY U PROGU KOLEJNEJ REWOLUCJI TECHNOLOGICZNEJ.,Strategiczne
Paladyni Zachodniego Królestwa,Szykujcie konie i ostrzcie miecze. Paladyni nadchodzą!,Strategiczne
Harry Potter: Hogwarts Battle (edycja polska),Stań do walki z Sam-Wiesz-Kim!,Strategiczne
Karczma pod Pękatym Kuflem,"W Karczmie pod pękatym kuflem gracze, aby wygrać, muszą odpowiednio wybierać kości i rozbudowywać talię zbierając w niej najlepszych pomocników i najbogatszych bywalców.",Strategiczne
The Voyages of Marco Polo (edycja polska),"W roku 1271, młody Marco Polo wyruszył na wyprawę ze swoim ojcem i starszym bratem, której celem były Chiny. Po długiej i wyczerpującej wędrówce dotarł do swojego celu 4 lata później. ",Strategiczne
Gugong edycja polska,"Czy nie zawahasz się przed niczym, aby przechytrzyć swoich rywali? Wkrocz do Gùgōng i przekonaj się!",Strategiczne
Gloomhaven (edycja polska),Fantastyczna gra przygodowa o niespotykanej skali rozgrywki,Strategiczne
Tiny Epic: MECHS PL,"„Tiny Epic: MECHS” to gra przedstawiająca walki na arenie, w której gracze wcielają się w doskonale wyszkolonych pilotów mechów.",Strategiczne
Urban Panic,Wybuduj miasto swoich marzeń!,Strategiczne
Zamek Smoków,Fenomenalna gra inspirowana Mahjongiem,Strategiczne
Jórvik ( edycja polska),"Podczas ery Wikingów, przez dziesięciolecia znaczna część Anglii była okupowana przez ludy z dalekiej północy.",Strategiczne
Dice Settlers: Osadnicy z Krwi i Kości,Czy jesteś prawdziwym osadnikiem z krwi i kości?,Strategiczne
Terraformacja Marsa (edycja gra roku),"Ludzkość rozpoczęła ekspansję w Układzie Słonecznym. Na Marsie założono już kilka niewielkich kolonii. Ich mieszkańcy są odgrodzeni od naturalnego środowiska straszliwie zimnej, suchej i niemal pozbawionej atmosfery planety.",Strategiczne
Unita,"Gra z kostkami, w której wszystko zależy od decyzji gracza. Oddziały sformowane z specjalnych kości nacierają w kierunku magicznego portalu, co rusz wchodząc",Strategiczne
Newton (edycja polska),"W połowie XVII wieku rozpoczął się okres wielkich zmian w historii ludzkości – rewolucja naukowa, zapoczątkowana przez wprowadzenie nowych metod naukowych.",Strategiczne
Gra o Tron: Żelazny Tron,W grze o tron zwycięża się albo umiera.,Strategiczne
Haru Ichiban,W cesarskich ogrodach natura powoli budzi się do życia.,Strategiczne
INIS,Przenieś się do świata celtyckich mitów!,Strategiczne
Pulsar 2849 (edycja polska),Odkrywaj nowe technologie i eksploruj niezbadany kosmos,Strategiczne
ALTIPLANO (EDYCJA POLSKA),Zamieszkaj wśród alpak i rozwijaj Altiplano!,Strategiczne
Lincoln,"Lincoln to szybka, strategiczna gra wojenna autorstwa Martina Wallace’a, w której rozegrasz całą Wojnę Secesyjną w przeciągu dwóch godzin!",Strategiczne
Railroad Revolution,Rozpoczęła się Kolejowa Rewolucja!,Strategiczne
Sekret: Czy chcesz żyć wiecznie?,"Studiując taoizm, gracze będą ścigać się, aby zobaczyć, kto będzie pierwszym, który stanie się Xianem i osiągnie nieśmiertelność.",Strategiczne
Neuroshima HEX 3.0,Neuroshima HEX 3.0 to planszowa gra strategiczna rozgrywająca się w postapokaliptycznym świecie opanowanym przez mutantów i bezwględne maszy,Strategiczne
HANSA TEUTONICA (edycja polska),"Gracze reprezentują gildie kupieckie, które starają się zwiększyć swoje wpływy w Hanzie - potężnym związku miast handlowych.",Strategiczne
Nanty Narking (edycja polska),Kultowa gra Martina Wallace!,Strategiczne
Forum Trajanum ( edycja Polska),W czasie gdy cesarz Trajan wznosi największe i najwspanialsze cesarskie forum w historii Rzymu...,Strategiczne
Kemet (edycja polska),W mitycznym Egipcie tylko najodważniejsi stają do walki!,Strategiczne
1989: Jesień Narodów,Odtwórz kluczowe rewolucje roku 1989,Strategiczne
Montana (edycja polska),"Zatrudniaj pracowników, dostarczaj produkty i dokonuj przemyślanych wyborów co do zasiedlania dzikich terenów XIX-wiecznej Ameryki.",Strategiczne
Adrenalina,Stań do walki na cybernetycznej arenie!,Strategiczne
BURANO: WYSPA KOLORÓW,Zasmakuj życia w kolorowym mieście!,Strategiczne
Fallout Shelter (edycja polska),Kto zostanie nowym nadzorcą krypty?,Strategiczne
Loyang,"Chiny, 2000 lat temu: Loyang zostało stolicą Dynastii Han i jedną z czterech głównych metropolii starożytnych Chin.",Strategiczne
Drako: Smok i Krasnoludy,kto przetrwa to starcie?,Strategiczne
Uczta dla Odyna,"Łup, poluj i eksploruj - zostań Wikingiem godnym opiewania w Sagach!",Strategiczne
Dynasties: Heirate & Herrsche,"Renaissance Europe is coming together, and people have realized that even the most powerful dynasties can achieve more together, so members of those dynasties are marrying, trading and sharing with one another — but who will end with the biggest piece of the pie?",Strategiczne
Pocket Imperium (edycja polska),Kieszonkowy podbój galaktyki!,Strategiczne
CATAN: NARODZINY PAŃSTWA INKÓW,Rozwijaj ziemie Ameryki Południowej,Strategiczne
Ewolucja,Wolisz znosić jajka czy mieć długą szyję?,Strategiczne
Orbis,Ułóż świat na nowo!,Strategiczne
Wiek Pary,Bądź największym wynalazcą!,Strategiczne
New Frontiers ( edycja polska),"New Frontiers to gra planszowa zaprojektowana przez Toma Lehmanna wykorzystująca mechanikę budowy silniczka, w której gracze budują swoje kosmiczne imperia, odkrywają i kolonizują planety, nabywają technologie, produkują i sprzedają towary.",Strategiczne
Blackout: Hong Kong (edycja polska),"Wyobraź sobie, że najbardziej rozświetlone miasto na świecie pogrąża się w ciemności!",Strategiczne
Chromosome,"W Chromosome wcielacie się w pozaziemskie mikroby, które przybyły na Ziemię wraz z meteorytem.",Strategiczne
TEOTIHUACAN: MIASTO BOGÓW,"W grze Teotihuacan: Miasto Bogów każdy z graczy kontroluje robotników i dąży do zapisania się w historii, jako najsprawniejszy budowniczy.",Strategiczne
Astro Jam,"To miał być zwykły, rutynowy dzień (lub noc?) na międzynarodowej stacji orbitalnej. Błąd w obliczeniach i zabłąkana asteroida całkowicie zmieniły sytuację. D",Strategiczne
Budowa miasta,Inwestuj w nieruchomości i zostań milionerem!,Strategiczne
Farmers vs Empire (Farmerzy przeciwko Imperium),"""Farmerzy przeciwko Imperium"" to dwie niezależne gry w jednym pudełku. Pierwszą z nich jest ""The Second Boer War 1899-1902"", która przedstawia cały konflikt.",Strategiczne
ANTARKTYDA,Kolonizacja Antarktydy na skalę przemysłową,Strategiczne
Gra o Tron 2 edycja,"Król Robert Baratheon nie żyje, a siedem królestw szykuje się do nadciągającej wojny. ",Strategiczne
Leśne Duchy,Leśne duchy to prosta gra w obłędnej oprawie graficznej.,Strategiczne
Venezia 2099,"Gondole, mosty, kanały, tramwaje wodne i pałace - Wenecja to prawdziwa legenda! Miasto wzniesione na ponad 100 wyspach, nie bez powodu nazywane ""perłą Adriat",Strategiczne
Stawka większa niż życie,Kultowy serial Stawka większa niż życie doczekał się swojej adaptacji na grę planszową. Ta rozbudowana gra o unikalnej mechanice pozwala pokierować losami bo,Strategiczne
Asteroyds,Każdy z graczy wciela się w jednego z p,Strategiczne
Monolith Arena,Podkręć rozgrywkę dzięki zasadom MONOLITU!,Strategiczne
Concordia (edycja polska),Zapewnij chwałę swemu rodowi i Rzymowi,Strategiczne
Andromeda,"Odkryj tajemnice starożytnego statku kosmicznego! Na radarach skanujących przestrzeń kosmiczną pojawił się zagadkowy statek, który nie p",Strategiczne
Kacper Ryx i Król Żebraków,"Król umarł, niech żyje król!",Strategiczne
LONDYN (druga edycja),"Wielki pożar z 1666 roku strawił większość miasta, teraz nadszedł czas, by je odbudować.",Strategiczne
Sid Meier's Civilization: Gra Planszowa,Gra planszowa na podstawie legendarnej gry komputerowej,Strategiczne
Star Wars: Rebelia,"Gra planszowa Star Wars: Rebelia pozwala graczom odtworzyć emocjonujące starcie pomiędzy Sojuszem Rebeliantów a Imperium Galaktycznym. Obejmij kontrolę nad siłami Imperium i uwolnij ich potęgę militarną, aby odnaleźć bazę rebeliantów albo wywołaj Rebelię na szeroką skalę, opierając się na walce partyzanckiej i sabotażu.",Strategiczne
Hunowie,Kto zdobędzie tytuł Wielkiego Khana?,Strategiczne
Podwodne Miasta,"Gwałtownie rosnąca liczba przeludnionych metropolii uzmysłowiła ludzkości, że czas na założenie nowego domu – na dnie morza.",Strategiczne
Mare Nostrum: Imperia,Starożytni Rzymianie nazywali Morze Śródziemne „mare nostrum”. W języku łacińskim oznacza to po prostu „nasze morze”. Czy i tobie będzie dane tak o nim powiedzieć?,Strategiczne
Akademia Smoczych Wrót,Przekroczcie progi magicznej szkoły poszukiwaczy przygód!,Strategiczne
Pacal's Rocket,"Odkrycie tajemniczego kamienia grobowego w starożytnym mieście Majów - Palenque, wywołało wiele emocji. Czy naprawdę ukazuje astronautę w statku kosmicznym? Czy kosmici byli odpowiedzialni za budowę piramid Majów? ""Pacal's Rocket"" statkami kosmicznymi przenosi graczy do mitycznych czasów, gdy Pakal Wielki rozpoczął budowę miasta.",Strategiczne
Trismegistus,Zostań największym alchemikiem!,Strategiczne
DOOM: Gra planszowa,IDŹ DO DIABŁA – I NIGDY NIE WRACAJ,Strategiczne
Funkenschlag (Wysokie Napięcie) Europe/North America,Funkenschlag (Wysokie Napięcie) Europe/North America is a standalone game in the Power Grid universe.,Strategiczne
Catan: Pojedynek,Stańcie do pojedynku w niesamowitym świecie Catanu!,Strategiczne
Europe Divided (edycja polska),Zakończenie Zimnej Wojny wprowadziło Europę w epokę rozwoju.,Strategiczne
Brass: Birmingham (edycja polska),"Masz ochotę na wzięcie udziału w nowej erze Rewolucji Przemysłowej, w realiach jednej z najlepszych gier ekonomicznych wszech czasów? ",Strategiczne
Volt (edycja polska),Witamy na arenie starć robotów!,Strategiczne
PRZEPOWIEDNIA,Przepowiednia to bajecznie wykonana gra korzystająca z unikalnej mechaniki „kryształowej sieci” stanowiącej swoistą grę w grze.,Strategiczne
ROTUNDA,Strategia na okrągło,Strategiczne
Guns & Steel: Historia Ludzkości," ""Guns & Steel. Historia ludzkości"" to niedługa gra karciana, która oferuje z jednej strony prostotę reguł, z drugiej zaś wybory, zależności i interakcję między graczami.",Strategiczne
Kosmiczne Spotkania,Zbuduj galaktyczne imperium…,Strategiczne
Fallout: Gra planszowa,"Fallout to gra planszowa oparta na bestsellerowej serii gier komputerowych o tym samym tytule, wydawanych przez firmę Bethesda.",Strategiczne
Tajemnica Whitehall,"Tajemnica Whitehall to doskonale dopracowana gra dedukcji i blefu, której akcja rozgrywa się w Londynie w czasach Kuby Rozpruwacza.",Strategiczne
NA POLACH FLANDRII,Czy chcecie się poczuć jak oficer dowodzący w okopach Flandrii? Ta gra daje wam taką szansę!,Strategiczne
Namiestnik,"Namiestnik to wyjątkowa gra karciana z systemem piramidy, której akcja dzieje się w legendarnym rosyjskim świecie dark fantasy „Berserk”, gdzie brutalne wojn",Strategiczne
Czas Honoru: Operacja Most III,"Jest rok 1944, Niemcy w tajnym poligonie rakietowym w Bliźnie intensywnie pracują nad rakietami balistycznymi V-2. Broń ta ma w zamyśle kierownictwa III",Strategiczne
This War of Mine: Gra Planszowa,This War of Mine: Board Game to zupełnie nowe podejście do rozgrywki.,Strategiczne
Mafiozoo,Planszowa gra strategiczna pełna korupcji i walki o wpływy.,Strategiczne
Catan: Gwiezdni Osadnicy,Wreszcie udało się sięgnąć gwiazd! Jest środek trzeciego tysiąclecia.,Strategiczne
Tuareg (Targi),Zostań władcą pustyni,Strategiczne
Pixie Queen (edycja polska),"Wróżki są nieposłusznymi, małymi mitycznymi stworkami, żyjącymi głównie na terenach Kornwalii i Devon.",Strategiczne
Outer Rim,"W odległych zakątkach kosmosu zwanych Zewnętrznymi Rubieżami trwa nieustanna wojna podjazdowa pomiędzy Ziemianami, a Kalmianami. Obie agresywne rasy",Strategiczne
Wiek Złodziei,"Wiek Złodziei to gra przeznaczona dla 2 do 4 graczy, z których każdy wcieli się w jedną z sześciu postaci tytułowych złodziei.",Strategiczne
Listy z Whitechapel,"W Listach z Whitechapel jeden z graczy przyjmuje rolę Kuby Rozpruwacza, a pozostali – pięciu detektywów ścigających go po uliczkach wiktoriańskiego Londynu.",Strategiczne
Księstwo,Taktyczna gra polegająca na tworzeniu potężnych księstw.,Strategiczne
Azyl: Zagrożone gatunki,Worker placement z unikalną mechaniką zasięgu widzenia akcji,Strategiczne
Capital,W grze Capital zadaniem gracza będzie budowa jednej z dzielnic Warszawy.,Strategiczne
Sid Meier’s Civilization: Nowy początek,Sid Meier’s Civilization: Nowy początek przenosi bestsellerową serię komputerowych gier strategicznych na planszę. ,Strategiczne
Cry Havoc,"Cry Havoc to asymetryczna gra dla 2-4 graczy, oparta na mechanice kontrolowania terytorium (area control).",Strategiczne
Cywilizacja: Poprzez Wieki (3 edycja),Nowa edycja rewelacyjnej strategii,Strategiczne
Zombie Terror,Przetrwaj inwazję zombie!,Strategiczne
Metallum,"Ogromne Statki-Fabryki przemierzają przestrzeń kosmiczną w poszukiwaniu Metallum – nowo odkrytego, lecz bardzo pożądanego surowca. ",Strategiczne
Most Primosole 14 - 17 lipca 1943,„...W rejonie mostu miało lądować 1856 spadochroniarzy. Później miały lądować szybowce z działami przeciwpancernymi. Armada powietrzna została ostrzelana prz,Strategiczne
Mezo,Mezo to innowacyjna gra area control i dudes on a map dla 2-4 graczy zainspirowana mitologią Majów.,Strategiczne
Osadnicy: Królestwa Północy,"Osadnicy z trzech północnych królestw, poszukując możliwości dalszego rozwoju, wypływają w kierunku obcych lądów w nadziei na znalezienie nowych zasobów.",Strategiczne
51. Stan: Master Set,"Świat, który znasz przestał istnieć.",Strategiczne
Tapestry edycja polska,"Opowieść intrygująca i pełna rozmachu jak świat, w którym się rozgrywa – wschodząca cywilizacja wchodząca na krętą ścieżkę rozwoju, aby zapisać się na kartach historii jako najpotężniejsze imperium w dziejach planety, a nawet kosmosu.",Strategiczne
Tortuga 2199,"„Tortuga 2199” to gra oparta na mechanice deck-building, w której gracze wcielając się w kapitanów pirackich statków kosmicznych przemieszczają się po modularnej planszy. ",Strategiczne
Caylus 1303 (edycja polska),Klasyk gatunku worker placement w zupełnie nowej odsłonie!,Strategiczne
Na skrzydłach,"Kolorowe ptaki, szelest skrzydeł i cisza rezerwatu",Strategiczne
Res Arcana (edycja polska),Kto zwycięży pojedynek magów?,Strategiczne
Alchemicy (Alchemists),Dzisiaj dostałem mój nowy kociołek. Nareszcie moje laboratorium jest gotowe! Całe dnie zbierałem i suszyłem składniki w oczekiwaniu na tę chwilę. Co by t,Strategiczne
Lewis & Clark: The Expedition (edycja polska),Odświeżona wersja gry ekonomicznej o XIX-wiecznych podróżach w głąb Luizjany!,Strategiczne
Neuroshima: Last Aurora,"Neuroshima: Last Aurora to gra oparta na Last Aurora, grze autorstwa Mauro Chiabotto z sukcesem ufundowanej na Kickstarterze w ubiegłym roku, którego polską edycję Portal Games osadził w świecie Neuroshimy.",Strategiczne
