title,description,category
Warhammer: Diskwars (edycja polska),"Nadeszła era wojny. Armie orków, elfów i ludzi cały czas się rozrastają. Wzmagają się wiatry magii, a demony najeżdżają kolejne krainy. Krążą plotki o czempi",Strategiczne
Neuroshima: Last Aurora - Przebudzenie Molocha,Dodatek do Neuroshima: Last Aurora wprowadza nowe karty i zasady,Strategiczne
Cyklady,Wybierz się w podróż do archipelagu Cyklady,Strategiczne
Sonar edycja polska,Na dnie oceanu nikt nie usłyszy twojego krzyku!,Strategiczne
Harry Potter: Hogwarts Battle - Defence Against the Dark Arts (edycja polska) + Zestaw 4 kart,Dynamiczny pojedynek czarodziejów,Strategiczne
Black Angel (edycja polska),Zarządzaj międzygalaktyczną fregatą!,Strategiczne
(Nie) powinieneś 2,Gra dla miłośników czarnego humoru,Imprezowe
Karty Dżentelmenów,"Karty Dżentelmenów to imprezowa gra towarzyska bez kurtuazji i pruderii, za to z ogromną dawką czarnego humoru.",Imprezowe
(Nie)Powinieneś,Gra dla miłośników czarnego humoru,Imprezowe
Karty Dżentelmenów: Epizod Czwarty,Czwarta edycja gry imprezowej dla miłośników czarnego humoru,Imprezowe
Stwory z obory,"Twoją wioskę nękają krwiożercze bestie, a słynni łowcy potworów rzucili robotę w diabły?",Imprezowe
Hook!,"Kiedy ocean jest spokojny, a statki pirackie stoją bez ruchu w wodzie...",Imprezowe
Oto jest pytanie!,Sztuka zadawania trafnych pytań,Imprezowe
10 minut,Nie ufaj nikomu - zaufaj instynktom,Imprezowe
Blank,Prawdziwie kreatywna rozgrywka!,Imprezowe
Dobble: Gdzie jest Dory?,"Dobble ""Gdzie jest Dory?"" to 30 różnych kart z symbolami pochodzącymi ze świata tego filmu",Imprezowe
Chyba śnisz!,Twórzcie i zapamiętujcie niepowtarzalne historie!,Imprezowe
KNIT WIT,"Knit Wit to wyjątkowa gra słowna autorstwa Matta Leacock'a (Pandemia, Zakazana Wyspa).",Imprezowe
The Resistance (edycja polska),"Czy zdołasz domyślić się, kto z zebranych jest Agentem?",Imprezowe
The Resistance: Avalon - Rycerze Króla Artura,"Artur reprezentuje przyszłość Brytanii, obietnicę dobrobytu i honoru, jednak wśród jego dzielnych rycerzy kryją się poplecznicy Mordreda. Siły zła są nielicz",Imprezowe
Mamy szpiega! (Spyfall),"„Gadatliwość zatapia statki” to znana metafora z okresu drugiej wojny światowej, podkreślająca, że w szpiegowskim świecie dyskrecja jest najważniejsza. Agent",Imprezowe
Słowo Stwory,To gra imprezowa polegająca na wymyślaniu na czas słów pasujących do kategorii wskazanej przez kostkę oraz zawierających litery widoczne na kartach. Należy w,Imprezowe
Wymyśl to!,Gra na szybkie myślenie!,Imprezowe
Król Ozo,Imprezowa gra zręcznościowa o obstawianiu i porównywaniu długości,Imprezowe
Mamma Mia (edycja polska),Przygotuj najbardziej zwariowaną pizzę!,Imprezowe
Munchkin Steampunk (edycja polska),Nasz ulubiony Munchkin wśród maszyn i pary!,Imprezowe
Escape Room: Zagadka Sfinksa,Kieszonkowy escape room dla grupy lub pojedynczego gracza,Imprezowe
Rączki Złączki,"Rączki Złączki to gra imprezowa, w której przeplata się zręczność i kooperacja!",Imprezowe
Pic na wodę! (What The Fake!),"Dali, Van Gogh, Monet, Rembrandt, Kossak... Każdy niesamowity, z własnym stylem, patrzący na rzeczywistość inaczej, a wszyscy sławni. Nie inaczej będzie",Imprezowe
FRUIT NINJA: COMBO PARTY (EDYCJA POLSKA),Połączenie pokera i Jungle Speed!,Imprezowe
Hanabi (edycja polska),Wesoła gra kooperacyjna o fajerwerkach,Imprezowe
Panika w laboratorium,"Wesoła gra imprezowa, którą pokochały miliony osób na całym świecie!",Imprezowe
Gorący Ziemniak Party,"Myśl, kojarz, rzucaj!",Imprezowe
Ranczo Party,"Ranczo Party to pełna humoru taktyczna układanka, która uczy planowania i pobudza logiczne myślenie, a przy tym wciąga, jak dobry film akcji. ",Imprezowe
Żyrafometr,Szybka gra w porównywanie faktów,Imprezowe
Drwale w lesie,Polska edycja gry Timberman,Imprezowe
Karty Dżentelmenów: Epizod Trzeci,Trzecia edycja gry imprezowej dla miłośników czarnego humoru,Imprezowe
Czarne historie 9,Kontynuacja bestsellerowej gry imprezowej od której włosy stają dęba,Imprezowe
Śmierć Jaśniepanu!,Myśl szybko - nie trać głowy!,Imprezowe
Tajniacy XXL,"Przednia, zespołowa zabawa dedukcyjna w rozmiarze XXL!",Imprezowe
"Polska, gola! (Polska - Hiszpania)",Podejmij wyzwanie i pomóż Polsce zdobyć Puchar Świata FIFA!,Imprezowe
Szybcy i wpienieni,"Obcy mają z nami wiele wspólnego... bo tak jak my, uwielbiają piwo. I sami też potrafią je produkować. Jednak odkąd nastały galaktyczne zmiany pogodowe, warz",Imprezowe
Jak Wściekłe Psy,"Jak Wściekłe Psy to prawdziwe ucieleśnienie dynamicznej, niezwykle interaktywnej gry imprezowej.",Imprezowe
Escape Room. Podróż w czasie,Emocje z prawdziwego escape roomu ukryte wewnątrz talii kart!,Imprezowe
Escape Room. Skok w Wenecji,"Kieszonkowa wersja rozrywki, która stała się światowym fenomenem!",Imprezowe
Łupieżcy,Kto położy puchate łapki na skarbach Rigora Mortisa?,Imprezowe
Dylematy 2,Dwukrotnie trudniejsze wybory i jeszcze odważniejsze decyzje!,Imprezowe
EXIT: Gra Tajemnic - Stacja badawcza,Czy uda wam się znaleźć wyjście?,Imprezowe
EXIT: Gra Tajemnic - Zakazany zamek,Czy uda wam się znaleźć wyjście?,Imprezowe
Skull (edycja polska),Imprezowa gra dla ludzi o mocnych nerwach,Imprezowe
Kaleidos,Mnogość barw i bogactwo elementów!,Imprezowe
Łapkosztuczki - sztuczkołapki,Gra zręcznościowa dla małych i dużych,Imprezowe
Sabotażysta,Krasnoludy krasnoludom zgotowały ten los,Imprezowe
Crime Story - Detektywi bez Licencji,Stwórz własny kryminał!,Imprezowe
Wirus!,Zaraźliwa gra imprezowa,Imprezowe
Tagi,Jak szybko znajdujesz pasujące słowa?,Imprezowe
Vudulhu (edycja polska),"Daj wycisk swoim przeciwnikom, na chwałę Przedwiecznego!",Imprezowe
Daję słowo!,Twórz coraz trudniejsze wyrazy i zdobywaj punkty,Imprezowe
Czółko bez cenzury,"CZÓŁKO BEZ CENZURY to kultowa gra towarzyska dla dorosłych w wersji karcianej! Lepiej nie zaczynaj, jesli nie masz osiemnastki na karku!",Imprezowe
"Dobry, Zły i Munchkin",Munchkin w westernowych klimatach,Imprezowe
Escape Room. Tajemnica Eldorado,"Kieszonkowa wersja rozrywki, która stała się światowym fenomenem!",Imprezowe
Zombie Fluxx (edycja polska),"Zombie FLUXX to gra o prostych regułach – dobierz jedną kartę i zagraj jedną kartę. Jednak kiedy myślisz, że już udało Ci się znaleźć odpowiednie Fanty i chc",Imprezowe
Vudu (edycja polska),"W Vudu wcielisz się w czarownika, który zbiera składniki do swoich wyszukanych klątw. Staniesz się adeptem czarnej magii i będziesz rzucać uroki na swoich pr",Imprezowe
Duże i włochate,Gra niefortunnych skojarzeń,Imprezowe
Podaj dalej!,"Szkicuj, zgaduj, podaj dalej!",Imprezowe
Szóstki,Wykaż się bogatym słownictwem!,Imprezowe
Łap za słówka!,Każde słowo na wagę złota,Imprezowe
Niezłe ciacho,Zdobądź najlepszy zestaw smakołyków,Imprezowe
Czarne historie Śledztwo,Czarny kruk wśród gier dedukcyjnych.,Imprezowe
Tajniacy (Codenames),"Dwie drużyny, którym przewodzi dwóch Szefów Wywiadu, próbują jak najszybciej nawiązać kontakt ze wszystkimi swoimi agentami.",Imprezowe
Munchkin Apokalipsa - Edycja jubileuszowa,Nadchodzi koniec świata...,Imprezowe
Escape Room. Atak na Londyn,Emocje z prawdziwego escape roomu ukryte wewnątrz talii kart!,Imprezowe
Party Alias - Wielki Zakład,"Pokażcie, co potraficie! Przejrzyjcie przeciwników i załóżcie się z nimi!",Imprezowe
Pechowa Krowa,"Co za zamieszanie! Stado krów wymknęło się z zagrody, a za nimi przez dziurę w płocie wydostało się też wiele koni, świń i owiec.",Imprezowe
Super Munchkin - Edycja Jubileuszowa,"Jeszcze więcej super potworów, skarbów i poziomów!",Imprezowe
Czarne historie 8,Kontynuacja bestsellerowej gry imprezowej od której włosy stają dęba,Imprezowe
Jungle Speed: Plaża,zabierz Jungle Speed na plażę!,Imprezowe
EXIT: Gra Tajemnic - Zapomniana wyspa,Czy uda wam się znaleźć wyjście?,Imprezowe
Extra FAKTY,Gra imprezowa w dwóch wariantach,Imprezowe
Kraina Snów,Nałóż opaskę na oczy i śpij dobrze!,Imprezowe
Activity,"Activity jest grą, umożliwiającą wykazanie się różnymi formami kreatywności. ",Imprezowe
Rysowane kalambury (wersja podróżna),"Ciekawe, co autor miał na myśli... Czy zdołasz odgadnąć, co przedstawia rysunek? Klepsydra będzie ci przypominać o upływającym czasie...Rozwikłaj skrywające",Imprezowe
Feelinks,"Jakbyś się poczuł, gdybyś usłyszał: ""Jeden z członków twojej rodziny wyjawia, że miewa prorocze sny""? Byłbyś smutny? Podekscytowany? Przerażony? Może nawet szczęśliwy? A co najważniejsze, jakby czuł się twój partner w grze? Feelinks to gra na emocjach.",Imprezowe
Ku radości Pana,"A kiedy Mroczny Pan wstaje lewą nogą, cierpią jego sługusy. To właśnie na was, nadsługusy, spadł obowiązek rozweselenia go. ",Imprezowe
Zaginiony Klucz,"Współpracujcie, by odnaleźć klucz!",Imprezowe
Stwór,Czy możesz zaufać przyjaciołom?,Imprezowe
Telepatia,"Gra telepatia to świetny sposób na urozmaicenie spotkania towarzyskiego czy rodzinnego. Jest to interesująca gra, w której główną rolę odgrywają twoje... sko",Imprezowe
Nie do pary,"Pełna śmiechu, szybka gra towarzyska, która doskonale sprawdzi się w dowolnym towarzystwie.",Imprezowe
Głodostwory,Nakarm klientów zanim sam staniesz się posiłkiem!,Imprezowe
Dzieła mistrzów,"Pełna śmiechu, szybka gra towarzyska, która doskonale sprawdzi się w dowolnym towarzystwie.",Imprezowe
Alias Dice (gra kościana),"Rzuć kośćmi i odszukaj słowo, aby je następnie objaśnić innym graczom. Gra ""Alias Dice"" wnosi do zabawy element szczęścia i szybkości. Wyścig po zwycięstwo s",Imprezowe
RAKIETA IMPREZOWA,"Gra, w której liczą się kosmicznie dobre skojarzenia!",Imprezowe
DWALAMBURY,Wariacja na temat popularnej gry towarzyskiej Kalambury.,Imprezowe
Time's Up! - Family (druga edycja),"Time's Up Family jest grą rodzinną, która zapewni dobrą zabawę wszystkim, zarówno dużym jaki i małym. ",Imprezowe
Alias Junior - wersja podróżna,Imprezowa gra o wielu twarzach,Imprezowe
POW!,"W grze ""POW!"" wcielacie się w autorów komiksów, a waszym zadaniem jest stworzenie najlepszego komiksu wszech czasów! ",Imprezowe
Alias Orginal - wersja podróżna,Imprezowa gra o wielu twarzach,Imprezowe
"Do boju, Towarzysze!",Jedyne zadanie - przeżyć!,Imprezowe
Gra pozorów,Szalona gra imprezowa!,Imprezowe
Koncept Kids - Zwierzaki,Kto zgadnie co to za zwierzę?,Imprezowe
Escape Room: Magiczna Sztuczka,Emocje z prawdziwego escape roomu ukryte wewnątrz talii kart!,Imprezowe
Prohis,W latach 20-30 XX wieku w Stanach Zjednoczonych szaleje prohibicja. ,Imprezowe
Gra Pomyłek,Kieszonkowa gra quizowa!,Imprezowe
Black Mirror: Nosedive (edycja polska),Oceń i poddaj się ocenie!,Imprezowe
Sabotażysta. Zaginione kopalnie.,"Nowa przygoda w bestsellerowym świecie ""Sabotażysty""!",Imprezowe
Takie Życie 2 - Detektywi,"Wieje nudą? Jedziecie samochodem? Pociągiem? Czekacie na samolot? Czekacie aż piąty gracz wyjdzie z łazienki lub wróci ze sklepu, byście mogli w końcu zacząć",Imprezowe
Tajniacy: Obrazki,"Cóż to za dziwaczne symbole na mapie? To zakodowane oznaczenia miejsc, w których Tajniacy muszą nawiązać kontakt z agentami ze swojej organizacji!",Imprezowe
Dżem dobry,Czy odgadniesz sekretne słowo?,Imprezowe
Fioletowe Historie,To 50 mistycznych zagadek dla nieustraszonych... nocnych marków! ,Imprezowe
Wojowoce,Prosta gra karciana o owocowych wojownikach,Imprezowe
Tokio Express,Zwariowana gra w komunikację bez słów!,Imprezowe
Decrypto,Złam szyfr!,Imprezowe
Pyrkon: Atak Koziołaków!,"Legendarne Koziołaki powróciły, by nocami polować na uczestników. ",Imprezowe
Family Alias (wersja podróżna),"""Family Alias"" to rodzinna odsłona niezwykle popularnej w wielu europejskich krajach gry. ",Imprezowe
Party Time: Ice Breaker,"Zakręć strzałką, odkryj kartę i zaczynajcie imprezę! Ktoś z was wybiera lepszą spośród dwóch dostępnych opcji, odpowiada na pytania o innych graczy, wykonuje",Imprezowe
Party Time: Mix It,"Na planszy stoi dziewieć głów, ale ten układ nie będzie trwał wiecznie. W każdej rundzie dwie głowy zamieniają się miejscami, a ty masz odgadnąć, które z nic",Imprezowe
"Kieszonkowce quizowe. Wiesz, że nic nie wiesz",Pakiet 3 quizów karcianych dla młodzieży i dorosłych!,Imprezowe
Top 12 (w metalowej puszce),"W grze ""Top 12"" nikt nie musi długo czekać na swoją kolej, ponieważ wszyscy grają równocześnie. Każdy gracz próbuje jako pierwszy zapełnić jedną kolumnę na swojej kartce, liczbami w kolejności rosnącej. Przy czym musi się starać tak wpisywać liczby, żeby starczyło miejsca na następne liczby.",Imprezowe
Mała gra - Jedzenie,Skąd pochodzą bułeczki scones? Z czego robi się mus czekoladowy? Ta mała gra oferuje mnóstwo informacji i dobrej rozrywki. Może być idealnym dodatkie,Imprezowe
Czarne historie 6,Kontynuacja bestsellerowej gry imprezowej od której włosy stają dęba.,Imprezowe
5 sekund - Junior! Edycja Specjalna 2.0,Specjalne wydanie z myślą o najmłodszych!,Imprezowe
"Dobble: 1,2,3","""Dobble 123"" to wspaniała gra dla dzieci, dostosowana do tego, by najmłodsi grali samodzielnie.",Imprezowe
Karty na Stół,"Wyciągnijcie Karty na stół, aby podroczyć się ze znajomymi w przyjaznej atmosferze!",Imprezowe
Jungle Speed: Kids,Król szalonych imprez w wersji dla dzieci!,Imprezowe
Kto z Kim ?,Kto mógłby dowodzić armią… ? Kto oswoiłby lwa…? A kto… uratowałby świat? ,Imprezowe
"Polska, gola! (Polska - Niemcy)",Podejmij wyzwanie i pomóż Polsce zdobyć Puchar Świata FIFA!,Imprezowe
Halli Galli Junior,"Gdy Ci smutno, gdy Ci źle, przyjdź do cyrku, zabaw się!",Imprezowe
EXIT: Gra Tajemnic - Zatopiony Skarb," Czy uda się wam rozwikłać zagadki, które skrywa zatopiony wrak?",Imprezowe
Tempo!,"Popisz się wiedzą, refleksem i wyczuciem czasu!",Imprezowe
Podaj Dalej! Bez cenzury,Rysunkowy głuchy telefon w wersji dla dorosłych!,Imprezowe
Dylemat wagonika,Rozważania filozoficzne i krwawa jatka w jednym!,Imprezowe
"Dawno, dawno temu... (3 edycja)","Dawno, dawno temu, w odległej krainie żył sobie sędziwy król. Władca martwił się losami królestwa, które było nękane przez straszliwą bestię i ogłosił...",Imprezowe
Memy 2: Imprezowa gra karciana dla okropnych ludzi,Gra autorów Kart Dżentelmenów,Imprezowe
Sushi Go Party! (edycja polska),Impreza z sushi teraz aż na osiem osób!,Imprezowe
Cortex dla Dzieci 2,Zobacz i poczuj co to za karta!,Imprezowe
Cortex 2,"Mądra gra, dzięki której gimnastykujesz umysł!",Imprezowe
Jednym słowem,Gra niebanalnych skojarzeń!,Imprezowe
"Jungle Speed ""Bertone"" (edycja limitowana)",Szalona gra towarzyska z ilustracjami Eduardo Bertone!,Imprezowe
Miszmasz! - Gramy,Szukaj par wśród symboli z gier planszowych!,Imprezowe
Ego: Emocje,"Nowa odsłona EGO, w której gracze określają swoje podejście do różnych, często kontrowersyjnych tematów za pomocą żetonów obrazujących emocje pozytywną, neutralną i negatywną.",Imprezowe
Uga Buga!,Pozbądź się resztek godności i szacunku znajomych w 5 minut!,Imprezowe
Latające Burrito,Pierwsza na świecie karciana gra w zbijaka!,Imprezowe
Jungle Speed,Szalona gra towarzyska w zwariowanej odsłonie,Imprezowe
Imago,Kalambury bez rysowania i pokazywania!,Imprezowe
Na Końcu Języka 2,Kontynuacja jednej z najlepszych na świecie gier imprezowych!,Imprezowe
Sushi Go! (edycja polska),A po sushi czas na deser!,Imprezowe
EXIT: Gra Tajemnic - Śmierć w Orient Expressie,Czy przy pomocy jego notatek uda się Wam rozwikłać zagadkę zabójstwa w Orient Expresie zanim pociąg dotrze do Konstantynopola?,Imprezowe
Zona: Sekret Czarnobyla,Przeżyj w najniebezpieczniejszej strefie świata,Przygodowe
Sword & Sorcery: Nieśmiertelne dusze + Tristan,"Sword & Sorcery to kooperacyjna gra planszowa dla 1 do 5 graczy, osadzona w magicznym świecie fantasy.",Przygodowe
Sword & Sorcery: Nieśmiertelne dusze,"Sword & Sorcery to kooperacyjna gra planszowa dla 1 do 5 graczy, osadzona w magicznym świecie fantasy.",Przygodowe
Talisman: Legendarne opowieści + karty promo,Odkrywaj świat Talizman w tej doskonałej grze przygodowej!,Przygodowe
Lunation,Niechaj wygra najlepszy,Przygodowe
Zombicide: Najeźdźca,Plaga zombie nie zna granic! ,Przygodowe
Nagaraja,Wyścig najwybitniejszych archeologów!,Przygodowe
Western Legends,Witaj na dzikim zachodzie,Przygodowe
Stworologia: Ekspedycja,"Stworologia jest niezwykłą grą, w której gracze znajdą wiele okazji do pasjonującej rywalizacji.",Przygodowe
Narcos (edycja polska),"""Słyszałem, że oddali 20 strzałów. Nafaszerowali go ołowiem. Spalili jego ciało, a popioły rozrzucili po Medellin. Mówią, że powstał z popiołów, poszedł do domów tych, którzy do niego strzelali i zabił ich we śnie"".",Przygodowe
Ostatni Bastion,Powstrzymajcie hordy potworów przed zdobyciem Ostatniego Bastionu!,Przygodowe
Zombicide: Czarna plaga,"Miecze w dłoń, naciągnąć kuszę i przygotować zaklęcia - nadciąga czarna plaga!",Przygodowe
Talisman: Magia i Miecz,Odkrywaj świat Talizman w tej doskonałej grze przygodowej!,Przygodowe
Posiadłość Szaleństwa - druga edycja,"Posiadłość Szaleństwa to przepełniona grozą i tajemnicami, w pełni kooperacyjna gra planszowa dla jednego do pięciu graczy.",Przygodowe
Kingdom Rush: Rift In Time (Kickstarter Dragon Chest Pledge),"Mag Czasu nie zatrzyma się przed niczym, aby zawładnąć królestwem, i ty też nie powinieneś - łucznicy w gotowości!",Przygodowe
Gorączka Podziemnej Mocy,Wojownicy Podziemi grają w Dobble na dwie ręce!,Przygodowe
Zaginione Wyspy,"Kapitan z hukiem wbiegł do swojej kajuty, gwałtownie otworzył szafę i za",Przygodowe
T.I.M.E Stories (Time Stories) Wydanie Polskie,Zostań strażnikiem czasu! (TIME Stories),Przygodowe
Kingdom Rush: Rift In Time (Kickstarter Knight Pledge),"Mag Czasu nie zatrzyma się przed niczym, aby zawładnąć królestwem, i ty też nie powinieneś - łucznicy w gotowości!",Przygodowe
Kingdom Rush: Rift In Time (Kickstarter King Pledge),"Mag Czasu nie zatrzyma się przed niczym, aby zawładnąć królestwem, i ty też nie powinieneś - łucznicy w gotowości!",Przygodowe
Eldritch Horror: Przedwieczna Groza,"Świat stoi na krawędzi katastrofy. Jest rok 1926, a pradawne istoty o niewyobrażalnej potędze budzą się powoli z długiego snu, przynosząc ludziom śmierć...",Przygodowe
Relic Runners,"W Relic Runners wcielasz się rolę nieustraszonego odkrywcy, przemierzającego dżunglę w poszukiwaniu zagubionych świątyń pełnych zapomnianych skarbów i relikw",Przygodowe
Legendy Krainy Andor,"Kraina Andor jest w niebezpieczeństwie. Zza lasów i gór naciągają wrogowie, by zaatakować zamek starego króla Brandura. Tylko wasza mała grupa może staną",Przygodowe
Relic: Tajemnica Sektora Antian,"Imperium Ludzkości rozciąga się na całą znaną galaktykę obejmując miliony światów. Mimo to, stoi na krawędzi zagłady.",Przygodowe
Wyścig Odkrywców (edycja wspieram.to),Dołącz do rywalizacji odkrywców i ruszaj ku przygodzie w poszukiwaniu nieznanego!,Przygodowe
Battlestar Galactica (edycja polska),"Gra kooperacyjna, gdzie możesz nawet nie wiedzieć, że jesteś zdrajcą!",Przygodowe
Runebound - trzecia edycja,"W grze Runebound wcielisz się w rolę wędrownego śmiałka, gotowego walczyć o swoje przeznaczenie. Podczas każdej rozgrywki będziesz przeszukiwać starożytne ruiny, toczyć zaciekłe bitwy i uczyć się nowych, potężnych umiejętności. Niebezpieczne siły zagrażają Terrinoth – tylko najwspanialszym bohaterom uda się je pokonać i przywrócić pokój.",Przygodowe
Dracula - trzecia edycja,"Rok 1898. Osiem lat temu złowrogi Hrabia Dracula odbył podróż do Londynu, gdzie planował szerzyć swe wampiryczne przekleństwo. Jego zamiary pokrzyżowała niewielka grupa bogobojnych ludzi, którym udało się przerwać jego knowania i zgładzić winowajcę u stóp jego zamku. Tak im się przynajmniej wydawało…",Przygodowe
Misja: Czerwona Planeta,"W grze Misja: Czerwona planeta 2-6 graczy wciela się w role kierownictwa korporacji wydobywczych, które w wiktoriańskim wieku pary ruszają na podbój Marsa. Gracze wysyłają swoich astronautów, aby zbadać różne strefy Marsa i wydobyć z nich wartościowe surowce.",Przygodowe
Warhammer Quest - Przygodowa gra karciana,"Warhammer Quest: Przygodowa gra karciana to gra kooperacyjna, w której od jednego do czterech graczy wyruszy na bohaterską wyprawę do lochów. Gracze wcielą się w klasycznych bohaterów Starego Świata, a następnie zejdą w głąb mrocznych tuneli, aby walczyć z goblinami, trollami, orkami, ghoulami, szczuroludźmi i innymi stworami.",Przygodowe
Munchkin Edycja Jubileuszowa,Specjalna edycja popularnej gry przygodowej!,Przygodowe
DUNGEON SAGA: GROBOWIEC KRÓLA KRASNOLUDÓW,"Dungeon Saga to klasyczna gra przygodowa, w której gracze wspólnie przemierzają wiecznie zmieniające się korytarze, aby spełnić wymagania misji. ",Przygodowe
Monster Slaughter: Horror w Głębi Lasu,Przygotuj się...NA KRWAWĄ JATKĘ!,Przygodowe
Zombicide: Zielona Horda,Plaga zombie nie zna granic! ,Przygodowe
Mroczny Zamek,Wydostań się z najmroczniejszych lochów,Przygodowe
GÓRĄ I DOŁEM,"Górą i Dołem to ekscytująca gra, która łączy w sobie budowanie osady i przeżywianie niezwykłych przygód.",Przygodowe
Zaklinacze,Stwórz przedziwne magiczne artefakty i obroń wioskę przed falą potworów!Uwaga! Tabuny potworów ze smokami na czele atakują!!!,Przygodowe
Horror w Arkham 3. Edycja,W trzeciej edycji Horroru w Arkham gracze znów wcielą się w role badaczy prowadzących śledztwo w dręczonym niepokojami mieście Arkham w stanie Massachusetts,Przygodowe
Stworze (druga edycja),Zanurz się w słowiańskiej mitologii,Przygodowe
Shadows over Camelot,"Gra przygodowa, w której gracze - jako Rycerze Okrągłego Stołu - współpracują ze sobą w celu obrony zamku Camelot.",Przygodowe
Munchkin Panic (edycja polska),Czy przetrwacie szturm potworów?,Przygodowe
Znak Starszych Bogów,Do muzeum zawitało zło z pustki pomiędzy światami!,Przygodowe
Władca Pierścieni: Bitwa o Śródziemie II edycja,"Stań u boku Aragorna, Gandalfa, Legolasa i zmierz się z armią Mordoru. Stwórz drużynę, która zdoła pokonać wrogów. Bądź jednak czujny bo Oko Saurona bacznie",Przygodowe
Małe kreciki,"Podczas gry gracze wcielają się w rolę krecików i poruszają się po polach, imitując kopanie podziemnych tuneli. Celem gry jest jak najszybsze wydostanie się na powierzchnię.",Przygodowe
The Curse of The Blac Dice,"The Curse of The Blac Dice to gra, w której gracze stanowią załogę pirackiego okrętu i muszą ze sobą współpracować aby ich piracka łajba dopłynęła do końca r",Przygodowe
Spooky Stairs (Straszne schody),"U szczytu starodawnych ruin mieszka stary duch. Do jego domostwa prowadzą kręte schody. Kilkoro odważnych dzieci, w ciszy wspina się po kamiennych schodach.",Przygodowe
Celestia,W czasie swoich podróży Guliwer na próżno szukał podniebnej krainy Celestia. ,Przygodowe
Discover: Nieznane Lądy,"Budzisz się z potwornym bólem głowy i nie masz bladego pojęcia, jak się tu znalazłeś.",Przygodowe
Drakon,"Nie prześcigniesz smoka. Musisz prześcignąć przyjaciół! Smoczyca Drakon schwytała grupę odważnych poszukiwaczy przygód, którzy usiłowali niepostrzeże",Przygodowe
Yeti - Wielka Stopa,Jak zostać odkrywcą postaci znanej tylko z opowieści? Jak dotrzeć na wyspę? Jak odnaleźć Wielką Stopę? Jak uprzedzić rywali i zrobić pierwsze zdjęcie? Jak utrudnić rywalom dotarcie do celu?,Przygodowe
Little Magician's Apprentices (Mali uczniowie czarnoksiężnika),"Bum! Psss! Chmura kolorowego dymu unosi się z magicznego kociołka. W starej magicznej kuchni, gdzie mali uczniowie czarnoksiężnika uczą się sztuki warzenia m",Przygodowe
Amber Route,"Amber Route to wyprawa do krainy słowiańskich wierzeń, potworów i magii. ",Przygodowe
Witches' Skyscraper (Dom czarownic),"W oddali, na skalistym wzgórzu znajduje się dom czarownic. Wszyscy są podekscytowani. Mała czarownica wskazuje na coś w powietrzu ręką. ""Widzicie czarodziejs",Przygodowe
Pirate's Cove (Piracka Zatoka),"Barwna gra strategiczna w ""pirackich"" klimatach",Przygodowe
Lords of Hellas (edycja polska) wersja sklepowa,"Wejdź w mroczne czasy Grecji, rządzone przez potężnych Bogów dzierżących zaawansowane technologie. Kontroluj asymetrycznych bohaterów i wybierz swoją drogę do zwycięstwa: poprzez kontrolę obszarów albo polując na potwory lub wykonując zadania.",Przygodowe
Realm of Wonder,Osłabione podziałami królestwo potrzebuje nowego bohatera. Wypełnij królewską misję i ocal królestwo albo obal króla i sam przejmij koronę. Podczas tej przyg,Przygodowe
Mystery of the Abbey (Tajemnica Opactwa),"Nowa edycja zawiera dodatek ""The Pilgrims' Chronicles"" W średniowiecznym francuskim klasztorze zamordowano brata zakonnego. Gracze poruszają się po z",Przygodowe
Martwa Zima: Długa Noc,"W Długiej Nocy gracze muszą zmierzyć się nie tylko ze znanymi już z Martwej Zimy zagrożeniami, ale napotykają kolejne przeciwności.",Przygodowe
BLOODBORNE: GRA KARCIANA,"Bloodborne to gra o zarządzaniu ryzykiem z domieszką wspólnego planowania, zarządzania ekwipunkiem i ulepszeniami, a także z elementami gry taktycznej.",Przygodowe
Rune Age (edycja polska),"Rune Age to gra dla 2 do 4 osób, o potędze i podboju, polegająca na budowaniu talii.",Przygodowe
Labyrinth: Ścieżki Przeznaczenia (2 edycja),"Labyrinth: Ścieżki Przeznaczenia to rewelacyjna kontynuacja gry nagrodzonej „Wyróżnieniem Graczy” w 2012 roku. Każda rozgrywka jest unikalnym starciem, w któ",Przygodowe
Ghost Stories (druga edycja),Stańcie razem naprzeciw duchom!,Przygodowe
Łowcy Smoków,"Łowcy smoków to gra o przebiegłości i dyplomacji w świecie, gdzie za każdym rogiem spotykamy smoki.",Przygodowe
Lords of Xidit (edycja polska),"""Eony temu, zanim świat stał się znanym nam światem, a ludzie zaczęli w ogóle marzyć; zanim z odmętów magii wykluło się pierwsze zaklęcie - nie istniało",Przygodowe
Kroniki Zbrodni,"Kroniki zbrodni to innowacyjne połączenie gry planszowej, aplikacji i wirtualnej rzeczywistości. ",Przygodowe
